source_country,canonical_country,canonical_region
Lithuania,Lithuania,Europe & Central Asia
Madagascar,Madagascar,Sub-Saharan Africa
Malawi,Malawi,Sub-Saharan Africa
Malaysia,Malaysia,East Asia & Pacific
Maldives,Maldives,South Asia
Mali,Mali,Sub-Saharan Africa
Marshall Islands,Marshall Islands,East Asia & Pacific
Mauritania,Mauritania,Sub-Saharan Africa
Mauritius,Mauritius,Sub-Saharan Africa
Mexico,Mexico,Latin America & Caribbean
México,Mexico,Latin America & Caribbean
Middle East Regional,Regional — Middle East,Middle East & North Africa
"Middle East, Pakistan, and Afg Region",Regional — Middle East,Middle East & North Africa
Moldova,Moldova,Europe & Central Asia
Mongolia,Mongolia,East Asia & Pacific
Montenegro,Montenegro,Europe & Central Asia
Morocco,Morocco,Middle East & North Africa
Multinational,Regional — Africa,Sub-Saharan Africa
Mozambique,Mozambique,Sub-Saharan Africa
Myanmar,Myanmar,East Asia & Pacific
Namibia,Namibia,Sub-Saharan Africa
Nepal,Nepal,South Asia
Netherlands,Netherlands,Western Europe
Nicaragua,Nicaragua,Latin America & Caribbean
Niger,Niger,Sub-Saharan Africa
Nigeria,Nigeria,Sub-Saharan Africa
North Africa and Horn of Africa Region,Regional — Africa,Middle East & North Africa
North Macedonia,North Macedonia,Europe & Central Asia
Oman,Oman,Middle East & North Africa
Pakistan,Pakistan,South Asia
Panama,Panama,Latin America & Caribbean
Papua New Guinea,Papua New Guinea,East Asia & Pacific
Paraguay,Paraguay,Latin America & Caribbean
Peru,Peru,Latin America & Caribbean
Perú,Peru,Latin America & Caribbean
Philippines,Philippines,East Asia & Pacific
Poland,Poland,Europe & Central Asia
Redacted,Undisclosed,Undisclosed
Regional,Regional — Global,Global / Multi-Region
Romania,Romania,Europe & Central Asia
Russia,Russia,Europe & Central Asia
Russian Federation,Russia,Europe & Central Asia
Rwanda,Rwanda,Sub-Saharan Africa
Samoa,Samoa,East Asia & Pacific
Sao Tome and Principe,São Tomé and Príncipe,Sub-Saharan Africa
Saudi Arabia,Saudi Arabia,Middle East & North Africa
Senegal,Senegal,Sub-Saharan Africa
Serbia,Serbia,Europe & Central Asia
Seychelles,Seychelles,Sub-Saharan Africa
Sierra Leone,Sierra Leone,Sub-Saharan Africa
Singapore,Singapore,East Asia & Pacific
Slovak Republic,Slovakia,Europe & Central Asia
Slovenia,Slovenia,Europe & Central Asia
Solomon Islands,Solomon Islands,East Asia & Pacific
Somalia,Somalia,Sub-Saharan Africa
South Africa,South Africa,Sub-Saharan Africa
South Asia Region,Regional — South Asia,South Asia
South Korea,South Korea,East Asia & Pacific
South Sudan,South Sudan,Sub-Saharan Africa
Southeast Asia Subregion,Regional — East Asia & Pacific,East Asia & Pacific
Southern Africa Region,Regional — Africa,Sub-Saharan Africa
Southern Europe Subregion,Regional — Europe & Central Asia,Europe & Central Asia
Sri Lanka,Sri Lanka,South Asia
St. Kitts and Nevis,St. Kitts and Nevis,Latin America & Caribbean
St. Lucia,St. Lucia,Latin America & Caribbean
St. Vincent and the Grenadines,St. Vincent and the Grenadines,Latin America & Caribbean
Sudan,Sudan,Sub-Saharan Africa
Suriname,Suriname,Latin America & Caribbean
Switzerland,Switzerland,Western Europe
Syria,Syria,Middle East & North Africa
Syrian Arab Republic,Syria,Middle East & North Africa
Tajikistan,Tajikistan,Europe & Central Asia
Tanzania,Tanzania,Sub-Saharan Africa
Thailand,Thailand,East Asia & Pacific
Timor-Leste,Timor-Leste,East Asia & Pacific
Togo,Togo,Sub-Saharan Africa
Tonga,Tonga,East Asia & Pacific
Trinidad & Tobago,Trinidad and Tobago,Latin America & Caribbean
Trinidad and Tobago,Trinidad and Tobago,Latin America & Caribbean
Tunisia,Tunisia,Middle East & North Africa
Turkey,Türkiye,Europe & Central Asia
Turkiye,Türkiye,Europe & Central Asia
Turkmenistan,Turkmenistan,Europe & Central Asia
Türkiye,Türkiye,Europe & Central Asia
Uganda,Uganda,Sub-Saharan Africa
Ukraine,Ukraine,Europe & Central Asia
United Arab Emirates,United Arab Emirates,Middle East & North Africa
United States,United States,North America
Unknown,Undisclosed,Undisclosed
Uruguay,Uruguay,Latin America & Caribbean
Uzbekistan,Uzbekistan,Europe & Central Asia
Vanuatu,Vanuatu,East Asia & Pacific
Venezuela,Venezuela,Latin America & Caribbean
"Venezuela, Republica Bolivariana de",Venezuela,Latin America & Caribbean
Viet Nam,Vietnam,East Asia & Pacific
Vietnam,Vietnam,East Asia & Pacific
West Bank And Gaza,West Bank and Gaza,Middle East & North Africa
West Bank and Gaza,West Bank and Gaza,Middle East & North Africa
Western Africa Region,Regional — Africa,Sub-Saharan Africa
World Region,Regional — Global,Global / Multi-Region
Worldwide,Regional — Global,Global / Multi-Region
Yemen,Yemen,Middle East & North Africa
"Yemen, Republic of",Yemen,Middle East & North Africa
Zambia,Zambia,Sub-Saharan Africa
Zimbabwe,Zimbabwe,Sub-Saharan Africa
